,ope,con,ext,agr,neu,item_level,blocks,gender,birthday,age,relationship_status,interested_in,mf_relationship,mf_dating,mf_random,mf_friendship,mf_whatever,mf_networking,locale,network_size,timezone
208,4.5,3.53,1.65,3.63,2.42,1,100,male,19/01/1990,22,1,2,NA,NA,NA,NA,NA,NA,en_US,32,-4
209,4.25,3,4,4,2.75,1,20,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
210,3,3,4,5,2,1,20,female,12/07/1993,19,2,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-6
211,3.8,2.05,2,2.65,3.75,1,100,female,21/07/1981,31,1,3,NA,NA,NA,NA,NA,NA,en_GB,102,-5
212,4,2.85,2.9,4.5,2.2,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,40,10
213,4.45,4.7,4.25,3.74,2.05,1,100,male,27/06/1979,33,NA,NA,NA,NA,NA,NA,NA,NA,en_US,176,-4
214,4.55,3.45,2.35,2.8,4.55,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
215,4.15,2.75,3.65,3.65,3.21,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
216,3.75,3.75,2.8,3.1,3.3,1,100,female,13/09/1990,22,3,NA,NA,NA,NA,NA,NA,NA,en_US,100,-8
217,3.95,2.45,2.85,4.1,2.4,1,336,male,09/02/1991,21,1,2,NA,NA,NA,NA,NA,NA,en_US,94,2
218,3.5,3,3.25,4.5,3,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
219,3.4,1.7,2.35,2.7,2.5,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
220,4.9,2.9,4,4.05,2.65,1,336,male,22/03/1974,38,1,NA,NA,NA,NA,NA,NA,NA,en_GB,164,1
221,4.7,2.95,3.55,3.3,3.45,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
222,3.85,4.3,1.15,3.15,2.3,1,336,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-4
223,4.5,4.3,3.75,3.75,2.55,1,100,female,,NA,5,NA,NA,NA,NA,NA,NA,NA,en_US,160,-7
224,4.3,3.6,2.42,4.45,2.44,1,100,female,21/11/1961,51,1,1,NA,NA,NA,NA,NA,NA,en_US,7,-4
225,3.75,3.1,3.5,2.8,3.7,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
226,4.8,3.55,4.25,4,1.75,1,100,male,13/08/1988,24,1,NA,NA,NA,NA,NA,NA,NA,en_US,259,-5
227,4.5,2,2.17,2.67,4.33,1,30,female,14/06/1991,21,NA,NA,NA,NA,NA,NA,NA,NA,en_US,172,1
228,5,2.95,3.2,4.1,3.45,1,336,female,07/10/1981,31,1,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-4
229,4.55,3.45,3.84,3.35,3.1,1,100,male,,NA,2,NA,NA,NA,NA,NA,NA,NA,en_US,21,0
230,2.1,3.55,2.3,3.35,3.2,1,100,male,02/02/1991,21,1,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-8
231,3.75,3.3,1.55,3.11,2.05,1,100,male,04/06/1989,23,1,2,NA,NA,NA,NA,NA,NA,en_US,62,-5
232,4.37,3.05,3.6,3.85,2.65,1,100,female,29/05/1988,24,2,NA,NA,NA,NA,NA,NA,NA,en_US,65,-4
233,3.35,4,3.5,3.2,3.25,1,100,female,05/09/1986,26,1,1,NA,NA,NA,NA,NA,NA,en_US,162,-6
234,4.25,3.75,2.1,4.25,3.45,1,100,female,06/01/1997,15,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-5
235,4,3.75,5,4.25,2.75,1,20,female,25/04/1992,20,2,NA,NA,NA,NA,NA,NA,NA,en_US,216,-7
236,4.55,4.74,4.7,3.4,2.15,1,100,female,05/03/1989,23,1,NA,NA,NA,NA,NA,NA,NA,,4349,-7
237,4.3,3.8,4.1,4,2.45,1,336,male,20/02/1991,21,1,2,NA,NA,NA,NA,NA,NA,en_GB,237,1
238,3.8,3.2,3.65,3.16,4.25,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
239,4.8,4.25,4.7,4.5,2.4,1,100,female,,NA,3,NA,NA,NA,NA,NA,NA,NA,,130,-5
240,4.7,3.75,4.55,4.5,1.05,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
241,4.1,4.55,3.42,3.79,3.1,1,100,male,21/10/1976,36,NA,NA,NA,NA,NA,NA,NA,NA,en_US,80,2
242,4.45,3.7,2,3.9,2.55,1,336,female,28/11/1989,23,NA,NA,NA,NA,NA,NA,NA,NA,zh_TW,186,-7
243,4.15,1.45,4.21,2.7,4.25,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
244,4.2,3.3,3.85,2.5,3.85,1,100,female,,NA,NA,1,NA,NA,NA,NA,NA,NA,,137,-8
245,4.25,3.65,3.1,3.05,1.85,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
246,4.55,3.65,3.7,3.75,2.5,1,100,female,23/10/1992,20,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,6
247,3.38,3.13,3.75,3.75,1.13,1,40,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
248,4.38,2.13,2,3.13,4,1,40,female,,NA,1,NA,NA,NA,NA,NA,NA,NA,en_GB,127,-7
249,4.65,2.1,4.2,3.45,2.45,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
250,3.5,3.2,3.8,3.25,3,1,336,female,22/02/1990,22,4,NA,NA,NA,NA,NA,NA,NA,en_US,82,-5
251,4.65,3.25,2.95,3.45,2.65,1,100,female,09/11/1989,23,1,NA,NA,NA,NA,NA,NA,NA,en_US,293,-7
252,4,2.75,4.35,3.15,1.9,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,175,NA
253,3.9,3,2.5,2.9,3.3,1,100,female,,NA,3,NA,NA,NA,NA,NA,NA,NA,,38,-5
254,4.15,3.1,3.05,3.45,3.3,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
255,4.95,3.4,2.45,2.6,3.85,1,100,male,25/04/1984,28,1,1,NA,NA,NA,NA,NA,NA,en_US,232,8
256,3.75,3.65,3.45,3.1,3.16,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-4
257,4.05,2.85,2,3.05,3.65,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
258,4.45,3.3,3.25,3.7,2.9,1,100,male,03/06/1991,21,1,2,NA,NA,NA,NA,NA,NA,en_US,1,-4
259,3.35,3.25,2.35,3.4,3.95,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
260,4,3.5,4.75,4.75,1,1,20,male,16/01/1987,25,3,2,NA,NA,NA,NA,NA,NA,en_US,283,12
261,4.35,4.35,2.3,3.55,3.9,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
262,4.15,3.5,1.7,2.4,4.65,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
263,3.95,3.85,3,3.75,3.26,1,100,female,03/08/1986,26,NA,NA,NA,NA,NA,NA,NA,NA,ja_JP,108,9
264,4.3,4.05,3.89,4.05,2.25,1,100,male,26/01/1982,30,1,NA,NA,NA,NA,NA,NA,NA,en_US,276,-8
265,4.55,3.9,3.6,3.3,1.85,1,100,female,,NA,2,3,NA,NA,NA,NA,NA,NA,en_US,40,-4
266,4.35,1.85,1.95,3.45,4.9,1,100,male,16/07/1995,17,1,3,NA,NA,NA,NA,NA,NA,ja_JP,44,9
267,4.85,1.8,2.95,3.05,2.55,1,100,male,09/11/1990,22,1,2,1,NA,NA,1,NA,NA,en_US,94,-5
268,3.85,3.55,3.35,4.8,1.9,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
269,4.5,3.25,3.25,4.25,1,1,20,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
270,4.5,3.25,2.75,4.5,1.75,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
271,4.35,3.2,4.8,3.55,2.75,1,100,male,29/09/1968,44,NA,NA,NA,NA,NA,NA,NA,NA,en_US,872,-4
272,5,4,3.75,2.75,2,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
273,4.25,3.6,3.2,3.9,3.4,1,100,female,11/04/1996,16,NA,NA,NA,NA,NA,NA,NA,NA,en_US,235,5
274,3.75,2.65,2.5,3.45,4.1,1,100,female,10/06/1987,25,NA,NA,NA,NA,NA,NA,NA,NA,en_US,25,0
275,4.75,2.5,3,3.75,2.25,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
276,4.35,3.35,3.1,2.95,3.95,1,100,female,05/02/1993,19,1,1,NA,NA,NA,NA,NA,NA,en_US,254,-7
277,4.6,3.95,2.3,2.9,2.1,1,100,male,02/03/1991,21,6,2,NA,NA,NA,NA,NA,NA,en_US,199,-5
278,4.55,2.65,2.8,3.75,3.65,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
279,5,2.75,3.65,3.2,3.4,1,100,male,,NA,1,2,NA,NA,NA,NA,NA,NA,en_GB,413,1
280,4.7,3.45,3.7,4.4,2.45,1,336,female,,NA,1,1,NA,NA,NA,NA,NA,NA,en_US,338,-5
281,4.6,3,2.45,3.45,2.1,1,336,female,11/08/1985,27,1,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-5
282,4.63,3.55,4.11,4.05,2.55,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
283,3.65,1.8,2.3,1.9,4.1,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,1
284,4.95,4.1,3.2,4.35,2.25,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
285,4.5,4.15,3.85,4.1,2.45,1,100,male,09/09/1991,21,1,1,NA,NA,NA,NA,NA,NA,en_US,184,-4
286,4.25,2.65,3.05,3.61,2.75,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
287,4,2.55,2.75,2.4,3.1,1,336,male,27/03/1962,50,1,NA,NA,NA,NA,NA,NA,NA,en_GB,11,2
288,3.45,2.8,2,2.4,4.6,1,100,male,08/11/1983,29,1,2,NA,NA,NA,NA,NA,NA,,277,1
289,4.6,3.25,4.35,4.15,3.3,1,100,female,,NA,2,1,NA,NA,NA,NA,NA,NA,en_US,99,-5
290,3.88,3.75,4.13,3.63,3.5,1,40,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
291,5,3.5,3.3,3.3,3.3,1,336,male,10/08/1986,26,2,NA,NA,NA,NA,NA,NA,NA,en_US,115,3
292,4.05,3.15,3.3,2.45,3.6,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-7
293,4.35,3.45,2.35,3.8,2.65,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
294,4.6,3.55,2.8,2.5,1.55,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
295,4.15,2.9,2.25,3.75,2.25,1,336,female,19/03/1995,17,1,1,NA,NA,NA,NA,NA,NA,en_US,66,-7
296,3.25,4,3.25,3.75,1.75,1,20,male,25/01/1984,28,3,NA,NA,NA,NA,NA,NA,NA,en_US,52,-5
297,4.45,2.4,4.2,4.15,2.1,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_PI,NA,NA
298,4.05,2.65,3.55,4.05,1.95,1,100,female,08/06/1984,28,1,NA,NA,NA,NA,NA,NA,NA,en_US,210,1
299,4.85,3.9,3.85,4.4,1.65,1,336,female,29/09/1982,30,4,2,NA,NA,NA,NA,NA,NA,en_US,67,-6
300,3.95,2.8,2.55,2.3,3.35,1,100,female,04/03/1995,17,1,1,NA,NA,NA,NA,NA,NA,en_US,88,-6
301,5,1.75,3,2.75,2.5,1,20,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
302,3.33,3.17,3.33,4,2.5,1,30,female,29/11/1991,21,1,1,NA,NA,NA,NA,NA,NA,en_US,145,-5
303,4,3.5,3,4.25,3.5,1,20,female,02/07/1968,44,1,NA,NA,NA,NA,NA,NA,NA,en_US,22,-5
304,4.75,2.85,2.45,2.7,4.9,1,100,female,09/11/1987,25,1,1,NA,NA,NA,NA,NA,NA,,25,9
305,4.65,2.32,3.1,2.55,4.35,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,9,-4
306,4.25,4,3.75,2.75,2.75,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,nl_NL,NA,NA
307,3.65,3.5,2.35,3.4,3.5,1,100,male,23/07/1992,20,2,NA,NA,NA,NA,NA,NA,NA,en_US,614,-5
308,3.75,3,4.5,4.25,2.25,1,20,male,19/03/1993,19,NA,NA,NA,NA,NA,NA,NA,NA,es_ES,269,1
309,3.85,3.3,3.2,3.9,2.45,1,100,male,05/03/1991,21,1,NA,NA,NA,NA,NA,NA,NA,en_US,63,-8
310,3.75,2.6,3.7,4.3,2.85,1,100,female,,NA,1,NA,NA,NA,NA,NA,NA,NA,en_US,24,-8
311,2.55,2.85,2.85,3.6,1.95,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,31,12
312,3.8,3.5,2.85,3.63,3,1,100,female,12/11/1969,43,3,NA,NA,NA,NA,NA,NA,NA,en_US,258,9
313,4.75,3.5,4,4.5,1.75,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
314,3.75,4.75,4,3.75,2.75,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
315,4.25,2.8,3.1,3.7,2.4,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_PI,NA,NA
316,3.8,4.3,3.5,4.45,1.2,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
317,4.2,4.1,4,3.8,2.35,1,100,female,28/05/1973,39,2,NA,NA,NA,NA,NA,NA,NA,it_IT,68,2
318,3.85,3.9,3.35,2.95,3,1,100,male,,NA,1,NA,NA,NA,NA,NA,NA,NA,en_GB,90,0
319,4.7,4.05,3.7,4,2.9,1,100,male,28/10/1992,20,7,2,NA,NA,1,1,NA,NA,en_US,NA,-6
320,4.5,2.7,3.15,3.45,4,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,es_ES,NA,NA
321,4.4,3.4,2.84,3.3,3.75,1,100,female,19/05/1972,40,NA,NA,NA,NA,NA,NA,NA,NA,en_US,33,-4
322,5,4.2,2.6,3.55,2.15,1,336,female,23/07/1993,19,1,NA,NA,NA,NA,NA,NA,NA,en_PI,43,-6
323,5,2.95,3.6,3.7,2.35,1,100,female,08/03/1991,21,NA,NA,NA,NA,NA,NA,NA,NA,en_US,17,-4
324,4.5,4.25,3,3,2.75,1,20,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,es_LA,NA,NA
325,4.13,4.25,4.38,3.25,2.5,1,40,male,06/10/1993,19,2,2,NA,NA,NA,NA,NA,NA,en_US,395,-4
326,3.95,3.5,4.25,3.25,1.9,1,100,male,01/02/1993,19,1,2,NA,NA,NA,NA,NA,NA,en_US,65,13
327,3.8,2.9,2.95,3.15,2.9,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
328,3.75,3.35,3.05,3.75,3.3,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
329,4.3,2.5,3.05,3.75,2.75,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
330,4.1,4,2.6,3.6,2.6,1,50,female,15/04/1987,25,1,NA,NA,NA,NA,NA,NA,NA,en_GB,354,3
331,4.5,3.3,3.6,2.75,3.4,1,100,male,05/06/1996,16,1,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-5
332,4.3,2,4.15,4.1,2.95,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
333,3.55,2.75,3.15,2.2,3.9,1,336,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-4
334,4.67,2.25,3.5,3.5,4,1,20,male,05/11/1988,24,4,NA,NA,NA,NA,NA,NA,NA,it_IT,7,1
335,3.25,2.5,3.5,2.6,3.5,1,100,male,11/10/1994,18,1,NA,NA,NA,NA,NA,NA,NA,en_GB,113,1
336,3.55,4.15,3.35,3.95,2.85,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,fr_FR,NA,NA
337,4.5,2.25,4.75,4.25,2,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
338,3.45,4.7,2.4,1.6,1.25,1,100,male,14/01/1985,27,1,NA,NA,NA,NA,NA,NA,NA,en_US,25,-4
339,4.8,4.75,4.1,4.2,2.2,1,100,male,05/04/1983,29,4,NA,NA,NA,NA,NA,NA,NA,en_US,8,-4
340,4.65,1.9,2.6,3.9,2.85,1,336,female,29/06/1993,19,NA,NA,NA,NA,NA,NA,NA,NA,en_US,66,-5
341,4.4,3.4,3.95,3.65,3.55,1,100,male,,NA,1,2,NA,NA,NA,NA,NA,NA,en_US,52,-4
342,3.5,3.5,4.5,2.5,3,1,20,female,08/07/1986,26,1,NA,NA,NA,NA,NA,NA,NA,en_US,441,8
343,4.2,3.68,3.9,4.1,2.05,1,100,male,11/08/1995,17,1,2,NA,NA,NA,NA,NA,NA,en_US,190,-5
344,4.79,2.42,2.05,3.11,4.3,1,100,male,27/02/1995,17,1,1,NA,NA,NA,NA,NA,NA,en_US,19,-6
345,3.9,2.3,2.25,2.65,3.85,1,100,male,01/08/1987,25,1,2,NA,NA,NA,NA,NA,NA,,164,-4
346,4.5,3.9,4.5,3.85,3.55,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
347,4.15,3.35,2.4,2.95,3.55,1,336,female,13/05/1991,21,1,1,NA,NA,NA,NA,NA,NA,en_US,32,2
348,3.85,2.95,2.7,3.68,2.3,1,336,NA,27/05/1989,23,NA,NA,NA,NA,NA,NA,NA,NA,,62,-7
349,3.55,3.95,2.55,3.35,2.8,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
350,4.55,4.6,3.8,4.9,2.95,1,336,female,12/03/1969,43,1,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-4
351,4.75,3,5,3,1.75,1,20,female,,NA,1,1,NA,NA,NA,NA,NA,NA,en_US,482,-6
352,4,3.75,3.33,2.5,3.75,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
353,4.75,3.55,2.5,2.75,4.05,1,100,male,,NA,1,NA,NA,NA,NA,NA,NA,NA,en_US,89,-7
354,4.5,3.15,3.6,3.85,3.75,1,100,female,21/03/1985,27,2,1,NA,NA,NA,NA,NA,NA,,204,1
355,4.6,3.15,2.95,2.45,3.3,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
356,3.75,3.75,3.5,4.25,2,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
357,4.4,3.55,3.85,4.15,2.25,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
358,4.15,3,3.25,3.4,3.9,1,100,female,10/05/1993,19,2,1,NA,NA,NA,NA,NA,NA,en_US,46,-4
359,4.7,3.1,3.25,4.6,1.75,1,100,male,24/01/1990,22,1,NA,NA,NA,NA,NA,NA,NA,en_US,10,2
360,3.5,3.67,3.17,3.83,2.83,1,30,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
361,5,3.75,4,4.75,2,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,2050,8
362,4.1,3.25,3.1,3.6,2.6,1,100,female,08/06/1991,21,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-8
363,3.33,4.83,4.17,3.5,2.5,1,30,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
364,4.3,2.95,3.75,3.95,1.7,1,100,female,09/09/1993,19,NA,NA,NA,NA,NA,NA,NA,NA,es_LA,NA,-3
365,3.75,2.58,3.75,3.17,3.75,1,60,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
366,4.75,4.35,4.2,3.95,2.2,1,336,female,,NA,2,NA,NA,NA,NA,NA,NA,NA,en_GB,29,0
367,4.2,4,4.05,3.2,2.4,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
368,3.7,3.9,3.65,4.16,2.4,1,100,NA,26/11/1980,32,NA,NA,NA,NA,NA,NA,NA,NA,en_US,171,0
369,3.55,3.8,1.9,3.45,2.7,1,336,male,09/07/1989,23,1,2,NA,NA,NA,NA,NA,NA,en_US,31,-5
370,4.25,3.3,2.4,3.2,3.3,1,100,male,12/11/1991,21,1,NA,NA,NA,NA,NA,NA,NA,en_US,11,-8
371,3.4,3.3,3.45,4,1.85,1,336,male,09/02/1992,20,1,NA,NA,NA,NA,NA,NA,NA,en_GB,148,0
372,3.35,2.6,2.5,3.2,2.25,1,100,male,25/07/1992,20,NA,NA,NA,NA,NA,NA,NA,NA,en_US,135,-5
373,4.17,4.5,4.33,3.5,2,1,30,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
374,4.25,2.15,4.25,3.1,3.5,1,100,male,21/10/1993,19,1,2,NA,NA,NA,NA,NA,NA,en_US,139,-5
375,3.17,3.55,4,3.5,2.83,1,60,male,03/09/1996,16,1,NA,NA,NA,NA,NA,NA,NA,en_PI,73,2
376,3.8,3.1,2.65,3.25,3.8,1,100,male,31/01/1986,26,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,-4
377,4.7,3.25,3.1,3.65,2.9,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
378,4.6,3.25,3,3.55,3.2,1,100,female,21/02/1988,24,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,131,3
379,4.63,3.55,3,3.5,1.55,1,336,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-4
380,3.9,2.45,4.7,3.15,3,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
381,4.05,3.95,2.65,3.75,2.8,1,100,male,17/12/1969,43,3,NA,NA,NA,NA,NA,NA,NA,en_US,300,-4
382,2.95,4.95,1.6,1.9,3.55,1,100,female,18/06/1994,18,1,1,NA,NA,NA,NA,NA,NA,en_US,133,-7
383,3.85,2.85,1.9,2.8,3.15,1,100,female,03/11/1993,19,1,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-7
384,3.8,3,2.83,3.17,2.83,1,30,male,20/10/1986,26,1,NA,NA,NA,NA,NA,NA,NA,en_US,16,-5
385,5,3.75,5,2.75,2.25,1,20,male,11/03/1992,20,2,NA,NA,NA,NA,NA,NA,NA,en_US,830,-5
386,4,4.25,3,4,3.25,1,20,female,,NA,3,NA,NA,NA,NA,NA,NA,NA,en_GB,69,-5
387,4.9,4.8,4.55,4.1,1.25,1,336,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
388,3.33,4.33,4.67,3.5,2.5,1,30,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
389,3.45,3.35,3.05,3.7,3.25,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
390,3.75,4.25,2.75,4.25,2.5,1,20,female,06/10/1980,32,NA,NA,NA,NA,NA,NA,NA,NA,en_US,161,-7
391,4,4.05,3.85,2.9,3.42,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
392,4.15,3.55,4.45,4.2,2.2,1,100,female,09/07/1982,30,2,1,NA,NA,NA,NA,NA,NA,en_US,177,-4
393,5,3.5,4.33,3.5,2.75,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,1
394,4.75,3.5,4.25,3.25,4.25,1,20,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
395,4.15,3.9,2.65,4.4,2.2,1,100,female,16/05/1979,33,3,NA,NA,NA,NA,NA,NA,NA,en_US,58,-4
396,4.55,3.9,2.85,4.5,3.75,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-4
397,4.55,3.45,4.1,3.7,3.35,1,100,female,18/02/1994,18,2,NA,NA,NA,NA,NA,NA,NA,,163,-7
398,4.53,3.15,2.9,4.15,2.6,1,100,female,03/07/1994,18,NA,NA,NA,NA,NA,NA,NA,NA,en_US,20,-5
399,3.95,2,3.55,4.85,1.15,1,100,male,19/05/1993,19,NA,NA,NA,NA,NA,NA,NA,NA,en_US,107,-7
400,3.85,3.65,2.75,3.25,3.65,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
401,4.4,1.7,4.3,3.9,3.7,1,100,male,15/09/1995,17,1,2,NA,NA,NA,NA,NA,NA,en_US,95,-4
402,4.25,4.25,5,4,2.75,1,20,male,09/06/1987,25,1,NA,NA,NA,NA,NA,NA,NA,en_US,422,-5
403,4.2,3.55,3.85,4.1,3.2,1,100,female,,NA,2,1,NA,NA,NA,NA,NA,NA,en_US,204,-7
404,3.75,2.45,1.8,4.45,2.7,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
405,4,4.25,3.67,4,3.5,1,20,female,15/07/1992,20,1,NA,NA,NA,NA,NA,NA,NA,en_US,190,-5
406,4,3,4,2.75,3.25,1,20,female,06/03/1984,28,8,NA,NA,NA,NA,NA,NA,NA,en_US,174,-5
407,3.65,2.74,3.9,3.55,2.6,1,100,male,18/05/1988,24,1,NA,NA,NA,NA,NA,NA,NA,en_GB,169,10
408,4.55,2.7,4.55,3.75,2.25,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,fb_LT,NA,NA
409,4.9,2.85,3.75,3.35,2.3,1,336,female,,NA,3,3,NA,NA,NA,NA,NA,NA,hr_HR,75,2
410,3.65,3.2,2.25,4.15,3.55,1,336,female,17/12/1985,27,1,1,NA,NA,NA,NA,NA,NA,en_GB,71,1
411,4.75,3.5,3,3.75,1.5,1,20,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
412,4.6,3.8,3.15,4.2,3,1,336,female,24/11/1978,34,3,NA,NA,NA,NA,NA,NA,NA,en_US,14,-4
413,3.9,4.65,3.75,3.7,2.05,1,336,male,01/09/1989,23,1,2,NA,NA,NA,NA,NA,NA,en_US,236,8
414,4.4,4.05,3.95,3.5,3.75,1,100,female,04/09/1982,30,2,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
415,4.75,4.1,3.6,3.1,1.9,1,336,male,06/03/1990,22,2,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-5
416,4.15,2,2.55,2.5,3.6,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,3
